id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1319315008489197569,1319315008489197569,2020-10-22 11:29:44 CDT,2020-10-22,11:29:44,-0500,18936233,twokinds,TwoKinds,,Twokinds 17th Anniversary! Can't believe it's been that long. The comic is now as old as I was when I started it! That's a weird thought... enjoy this extra-dimensional filler!  https://t.co/1UChOs6dZU,en,[],['http://twokinds.keenspot.com/comic/17thann/'],[],205,339,1959,[],[],https://twitter.com/TwoKinds/status/1319315008489197569,False,,0,,,,,,,,[],,,,
1314999476336160770,1314999476336160770,2020-10-10 13:41:21 CDT,2020-10-10,13:41:21,-0500,18936233,twokinds,TwoKinds,,"[Comic][1125] ""Body Snatcher"" Trace confronts the monster that he was... quite literally, in this case.  https://t.co/KWKFtUUgOX",en,[],['http://twokinds.keenspot.com/comic/1125/'],[],45,86,651,[],[],https://twitter.com/TwoKinds/status/1314999476336160770,False,,0,,,,,,,,[],,,,
1312862172234612739,1312862172234612739,2020-10-04 16:08:28 CDT,2020-10-04,16:08:28,-0500,18936233,twokinds,TwoKinds,,"[Comic][1124] ""Detritus"" This seems appropriate for October!  https://t.co/zubMtjAtz3",en,[],['http://twokinds.keenspot.com/comic/1124/'],[],48,93,692,[],[],https://twitter.com/TwoKinds/status/1312862172234612739,False,,0,,,,,,,,[],,,,
1308672264464891905,1308672264464891905,2020-09-23 02:39:16 CDT,2020-09-23,02:39:16,-0500,18936233,twokinds,TwoKinds,,"[Comic][1123] ""Hunted""  https://t.co/KYPpD90hfv",en,[],['http://twokinds.keenspot.com/comic/1123/'],[],37,105,750,[],[],https://twitter.com/TwoKinds/status/1308672264464891905,False,,0,,,,,,,,[],,,,
1306322888849588226,1306322888849588226,2020-09-16 15:03:41 CDT,2020-09-16,15:03:41,-0500,18936233,twokinds,TwoKinds,,Young Nora sketches (+1 Natani sketch) requested by iliar! A rare glimpse into the very early life of the now powerful dragon we're all familiar with. The Natani sketch is a remake of a panel from page 329 in the comic.  https://t.co/GtkcBMc4Iv,en,[],[],['https://pbs.twimg.com/media/EiD8n2FWAAAyRhP.png', 'https://pbs.twimg.com/media/EiD8oNoWAAAyZik.png', 'https://pbs.twimg.com/media/EiD8qx2XYAA-_rY.png'],37,266,2050,[],[],https://twitter.com/TwoKinds/status/1306322888849588226,False,,1,https://pbs.twimg.com/media/EiD8n2FWAAAyRhP.png,,,,,,,[],,,,
1304935103139897349,1304935103139897349,2020-09-12 19:09:07 CDT,2020-09-12,19:09:07,-0500,18936233,twokinds,TwoKinds,,"[Comic][1122] ""Entering and Breaking""  https://t.co/mHA912DjFA",en,[],['http://twokinds.keenspot.com/comic/1122/'],[],54,115,872,[],[],https://twitter.com/TwoKinds/status/1304935103139897349,False,,0,,,,,,,,[],,,,
1299863176020987904,1299863176020987904,2020-08-29 19:15:06 CDT,2020-08-29,19:15:06,-0500,18936233,twokinds,TwoKinds,,"[Comic][1121] ""Knock Knock"" Here comes more trouble!  https://t.co/4i7PLWQCFM",en,[],['http://twokinds.keenspot.com/comic/1121/'],[],69,91,729,[],[],https://twitter.com/TwoKinds/status/1299863176020987904,False,,0,,,,,,,,[],,,,
1297333224809668609,1297333224809668609,2020-08-22 19:41:58 CDT,2020-08-22,19:41:58,-0500,18936233,twokinds,TwoKinds,,"[Comic][1120] ""Karen Clues In""  https://t.co/8jsRCeREGd",en,[],['http://twokinds.keenspot.com/comic/1120/'],[],31,88,758,[],[],https://twitter.com/TwoKinds/status/1297333224809668609,False,,0,,,,,,,,[],,,,
1294867795830767616,1294867795830767616,2020-08-16 00:25:14 CDT,2020-08-16,00:25:14,-0500,18936233,twokinds,TwoKinds,,"[Comic][1119] ""Interrogation""  https://t.co/xU8GWKTK2T",en,[],['http://twokinds.keenspot.com/comic/1119/'],[],22,79,767,[],[],https://twitter.com/TwoKinds/status/1294867795830767616,False,,0,,,,,,,,[],,,,
1289660860143550464,1289660860143550464,2020-08-01 15:34:44 CDT,2020-08-01,15:34:44,-0500,18936233,twokinds,TwoKinds,,"[Comic][1118] ""Saved by the Spy""  https://t.co/j2ar6ezqv7",en,[],['http://twokinds.keenspot.com/comic/1118/'],[],42,80,782,[],[],https://twitter.com/TwoKinds/status/1289660860143550464,False,,0,,,,,,,,[],,,,
1288225191575932929,1288150777232588800,2020-07-28 16:29:54 CDT,2020-07-28,16:29:54,-0500,18936233,twokinds,TwoKinds,,@MoonDance_comic Thank you!! Looks really cool. I think a magic-wielding Flora could be potentially dangerous haha,en,[],[],[],0,1,33,[],[],https://twitter.com/TwoKinds/status/1288225191575932929,False,,0,,,,,,,,[{'screen_name': 'MoonDance_comic', 'name': 'Commissions Closed!', 'id': '727224050762829824'}],,,,
1287104754020241408,1287104754020241408,2020-07-25 14:17:41 CDT,2020-07-25,14:17:41,-0500,18936233,twokinds,TwoKinds,,"[Comic][1117] ""Watch Your Step""  https://t.co/ou188zd6cu  https://t.co/52hF1xlCM8",en,[],['http://twokinds.keenspot.com/comic/1117/'],['https://pbs.twimg.com/media/Edy27xrX0AA6K0N.png'],35,79,817,[],[],https://twitter.com/TwoKinds/status/1287104754020241408,False,,1,https://pbs.twimg.com/media/Edy27xrX0AA6K0N.png,,,,,,,[],,,,
1286129604802097152,1286129604802097152,2020-07-22 21:42:47 CDT,2020-07-22,21:42:47,-0500,18936233,twokinds,TwoKinds,,"[Comic][1116] ""Caught in the Middle""  https://t.co/TCeLfYY2Ou  https://t.co/b8bn7TfW3J",en,[],['http://twokinds.keenspot.com/comic/1116/'],['https://pbs.twimg.com/media/Edk_tH7XsAIsbg3.png'],47,125,1105,[],[],https://twitter.com/TwoKinds/status/1286129604802097152,False,,1,https://pbs.twimg.com/media/Edk_tH7XsAIsbg3.png,,,,,,,[],,,,
1282456124701237255,1282456124701237255,2020-07-12 18:25:41 CDT,2020-07-12,18:25:41,-0500,18936233,twokinds,TwoKinds,,"[Comic][1114][1115] ""The Rose Garden"" Double page update  https://t.co/oMtJNQGtZq  https://t.co/zEHXiEUuBv",en,[],['http://twokinds.keenspot.com/'],['https://pbs.twimg.com/media/Ecwy6t3XYAE_5WG.png'],154,145,1158,[],[],https://twitter.com/TwoKinds/status/1282456124701237255,False,,1,https://pbs.twimg.com/media/Ecwy6t3XYAE_5WG.png,,,,,,,[],,,,
1277015085261750273,1277015085261750273,2020-06-27 18:04:56 CDT,2020-06-27,18:04:56,-0500,18936233,twokinds,TwoKinds,,"[Comic][1113] ""The Painting Pt 2""  https://t.co/0UGIzsR73M",en,[],['http://twokinds.keenspot.com/comic/1113/'],[],182,127,1036,[],[],https://twitter.com/TwoKinds/status/1277015085261750273,False,,0,,,,,,,,[],,,,
